kode_lelang,nama_lelang,kode_rup,tanggal_pembuatan,keterangan,tahapan_lelang,instansi,satuan_kerja,kategori,metode_pengadaan,metode_kualifikasi,metode_dokumen,metode_evaluasi,tahun_anggaran,tahun,pagu,hps,cara_pembayaran,pembebanan_ta,sumber_pendanaan,lokasi,kualifikasi_usaha,peserta_lelang,agency,satker,nama_pemenang,alamat,npwp,hasil_negosiasi,harga_penawaran,harga_terkoreksi,gagal_lelang
2161260,Belanja Bahan Makanan Dan Minuman Pasien Bulan Januari - Juni 2015,NA,2015-01-06,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Rumah Sakit Umum Daerah Kota Bandung,Pengadaan Barang,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,BLUD 2015,2015,1000000000,850905220,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Jl Rumah Sakit No 22 Ujungberung - Bandung (Kota),Perusahaan Kecil,38,NA,Rumah Sakit Umum Daerah Kota Bandung,NA,NA,NA,NA,NA,NA,Ya
2164260,Pengadaan Cetakan Security Blangko Dokumen Kependudukan,2558197,2015-02-09,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Kependudukan dan Pencatatan Sipil,Jasa Lainnya,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,800000000,797203000,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Jl. Ambon No. 1 B - Bandung (Kota),Perusahaan Kecil,25,Agency ULP Kota Bandung,Dinas Kependudukan dan Pencatatan Sipil,PT. KARSA WIRA UTAMA,JL PAJAJARAN NO. 10 DESA GANDASARI KEC. JATIUWUNG TANGERANG - TANGERANG (KOTA) - BANTEN,01.391.903.0-415.000,NA,796692600,796692600,Tidak
2166260,Perawatan dan Pengoperasian Bus Sekolah Rute 2 (Dago - Leuwipanjang),NA,2015-02-10,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Perhubungan,Jasa Lainnya,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,1000000000,868214688,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil,16,NA,Dinas Perhubungan,NA,NA,NA,NA,NA,NA,Ya
2165260,Perawatan dan Pengoperasian Bus Sekolah Rute 1 (Antapani - Ledeng),NA,2015-02-10,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Perhubungan,Jasa Lainnya,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,1000000000,930076012,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil,17,NA,Dinas Perhubungan,NA,NA,NA,NA,NA,NA,Ya
2163260,"Pengadaan Selang Pemadam Kebakaran uk. 2,5""",2837522,2015-02-12,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Pencegahan dan Penanggulangan Kebakaran,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,560000000,556600000,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Jl. Sukabumi No. 17 - Bandung (Kota),Perusahaan Kecil,68,Agency ULP Kota Bandung,Dinas Pencegahan dan Penanggulangan Kebakaran,CV.INDOSAFE TANGGA UTAMA,JL. KEJAKSAAN NO. 53 - BANDUNG (KOTA) - JAWA BARAT,31.185.721.3-423.000,NA,514448000,0,Tidak
2173260,Peningkatan Jl. Wijaya Kusuma Raya,3024560,2015-02-17,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,407358000,404120000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,kecamatan Bandung Kulon - Bandung (Kota),Perusahaan Kecil,64,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,CV. KARYA SETIA,JL. SUKASIRNA NO. 178 PADASUKA BANDUNG - BANDUNG (KOTA) - JAWA BARAT,01.455.876.1-423.000,NA,387550900,0,Tidak
2174260,"Peningkatan Jl. Jawa, Jl. Kalimantan, Jl. Bali",3024515,2015-02-17,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,2898132000,2863645000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,kecamatan Sumur Bandug - Bandung (Kota),Perusahaan Non Kecil,80,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,PT. CAHAYA RAMA PRATAMA,JL. KIARA SARI V NO. 33 MARGASARI - BANDUNG (KOTA) - JAWA BARAT,01.622.202.8-429.000,NA,2290847000,0,Tidak
2178260,Peningkatan Jl. Ibrahim Adjie (A. Yani -Fly Over),3024663,2015-02-17,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,5678902000,5634860000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,kecamatan Kiaracondong - Bandung (Kota),Perusahaan Non Kecil,86,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,PT. MEGA SUKMA,JL. SALUYU CX NO. 143 BANDUNG - BANDUNG (KOTA) - JAWA BARAT,01.555.631.9-441.000,NA,4484737029,0,Tidak
2172260,Peningkatan Jl. Perumnas Cijerah,3024534,2015-02-17,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,266324000,264185000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,kecamatan Bandung Kulon - Bandung (Kota),Perusahaan Kecil,61,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,CV.NARATAS MARGA SAMPURNA,JL. SINDANG TAMAN-SUKAMANTRI DSN. BURUJUL RT 06 RW 03 DESA CIGENTUR KEC. TANJUNGKERTA KAB. SUMEDAN - SUMEDANG (KAB.) - JAWA BARAT,66.187.562.5-446.000,NA,211373330,0,Tidak
2167260,Peningkatan Jl. Cipaganti,3024431,2015-02-17,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2015,2015,7452766000,7264238000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,kecamatan Sukajadi - Bandung (Kota),Perusahaan Non Kecil,101,Agency ULP Kota Bandung,Dinas Bina Marga dan Pengairan,PT. BIRO A.S.R.I,JL. SOEKARNO HATTA NO. 238 BANDUNG - BANDUNG (KOTA) - JAWA BARAT,01.308.491.8-028.000,NA,5867128000,0,Tidak
